2017-11-19 16:15:36,452 - INFO - args: (<__main__.Client object at 0x7f7b257869e8>,) = <socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57678), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 16:16:59,321 - INFO - args: (<__main__.Client object at 0x7f6a4109b9e8>,) = <socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57680), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 16:16:59,321 - INFO - args: (<__main__.Client object at 0x7fe7234b59e8>,) = <socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57682), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 16:26:35,294 - INFO - args: (<__main__.Client object at 0x7f070ec149e8>,) = <socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57698), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 16:26:35,294 - INFO - args: (<__main__.Client object at 0x7fcca833b9e8>,) = <socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57700), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 16:31:16,203 - INFO - args: (<__main__.Client object at 0x7fd29a0a99e8>,) = <socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57710), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 16:31:16,209 - INFO - args: (<__main__.Client object at 0x7efd2223a9e8>,) = <socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57712), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 16:40:59,231 - INFO - args: (<__main__.Client object at 0x7f8d31b509e8>,) = <socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57718), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 16:40:59,240 - INFO - args: (<__main__.Client object at 0x7f92bd44f9e8>,) = <socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57720), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 16:48:57,851 - INFO - args: (<__main__.Client object at 0x7f5a506169e8>,) = <socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57744), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 16:48:57,851 - INFO - args: (<__main__.Client object at 0x7f10f50129e8>,) = <socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57746), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 16:49:17,485 - INFO - args: (<__main__.Client object at 0x7f0332d6f9e8>,) = <socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57748), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 16:49:17,487 - INFO - args: (<__main__.Client object at 0x7f4ad35d19e8>,) = <socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57750), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 17:04:06,382 - INFO - args: (<__main__.Client object at 0x7fc5e238e9e8>,) = <socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57826), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 17:04:06,403 - INFO - args: (<__main__.Client object at 0x7f8e7f2749e8>,) = <socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57828), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 17:13:06,442 - INFO - args: (<__main__.Client object at 0x7f89e641da20>,) = <socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57838), raddr=('127.0.0.1', 7777)> - _connect - __main__
